,timestamp,ID,r_len,P1_nn,P1_age,P1_gender,P1_nationality,P1_r_type,P1_IOS,P2_nn,P2_age,P2_gender,P2_nationality,P2_r_type,P2_IOS,key_press,rt,trial_stim
37,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.36508583299291786,YR
38,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.6261305840016576,BL
39,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3295864999963669,YR
40,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.4103651249897666,BR
41,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.5923142919928068,BL
42,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3925074170110747,YL
43,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3325517920020502,YR
44,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.32561679200443905,YM
45,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.4336602919938741,BR
46,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.5074776249966817,BR
47,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.390027834000648,YR
48,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3380409579986008,YL
49,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.39565950000542216,BR
50,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.33884891599882394,YR
51,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.27214670900139026,YL
52,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3536842499888735,YL
53,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.32732095899700653,YL
54,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.5448073330044281,BL
55,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.39908941599423997,BR
56,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.340959416993428,YR
57,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.28550283300864976,YL
58,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.4587924590014154,YR
59,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.295471165998606,YR
60,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.305614416996832,YR
61,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.26525833300547674,BL
62,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,1.1582466249965364,YL
63,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.45854883300489746,BL
64,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.4107786670065252,BR
65,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3789356659981422,YR
66,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.41593099999590777,BM
67,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.375808708005934,YL
68,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,p,0.43520574999274686,BR
69,2022_Jan_18_1809,74240,2 måner,Særling,77,Female,ggg,Family,1,Hamdenomegaseje,237,Other,Sumali,Romantic,3,w,0.3749975000100676,YM
